name,arabic_name
Bar Bar Restaurant,‫بار بار مطعم‬
Barary Charcoal,‫فحم باراري‬
Baras Electric Corporation,‫شركة باراس للكهرباء‬
Bashri (B),‫بشري (ب)‬
Basim,‫باسم‬
Basrah Restaurant,‫مطعم البصرة‬
Bassam Zeena Bakhruji Trading,‫بسام زينة بخروجي للتجارة‬
Bayroni,‫بيروني‬
Bashrawi Shopping Center,‫مركز تسوق بشراوي‬
BB2,‫BB2‬
Bayouni Trading,‫بيوني للتجارة‬
Aymeen Exhibition,‫معرض أيمين‬
Abeer,‫عبير‬
Best Friends Toys,‫أفضل ألعاب الأصدقاء‬
Beint Al-Arab Exchange,‫بينت العرب للصرافة‬
Beirut Tailor,‫بيروت خياط‬
Beyroty,‫بيروتي‬
Big World,‫عالم كبير‬
Bin Afeef Center,‫مركز بن عفيف‬
Bin Sabt Trading Establishment,‫مؤسسة بن سبت التجارية‬
Beint Al-Arab Exhibition,‫معرض بينت العرب‬
Bint Al-Khaleej,‫بنت الخليج‬
Bio-Hazard,‫الخطر الحيوي‬
Bismi Foods,‫باسمي فودز‬
B+K,‫ب + ك‬
Bombay Fashion,‫أزياء بومباي‬
Bulbul Fashions,‫أزياء بلبل‬
Bundoo Khan Restaurant,‫مطعم بندو خان‬
Buraiki Shopping Center,‫مركز البريكي للتسوق‬
Buy and Save,‫الشراء والحفظ‬
Canary Meadows,‫كناري ميدوز‬
Casa Grill,‫كازا جريل‬
Casa Juice,‫عصير كازا‬
Casual Jeans,‫جينز كاجوال‬
Charour Restaurant,‫مطعم شارور‬
Chicken Spicy,‫دجاج حار‬
Childs World,‫عالم الأطفال‬
Chocolatry,‫شوكولاتة‬
Chowking,‫تشوكينغ‬
Chubs,‫تشوبس‬
Sinderilla Ladies Center,‫مركز سينديريلا للسيدات‬
City Sweet,‫سيتي سويت‬
Cloth Center,‫مركز القماش‬
Collection,‫مجموعة‬
Collection Center,‫مركز التحصيل‬
Cool Jeans,‫جينز بارد‬
Corniche Shopping Center,‫مركز تسوق الكورنيش‬
Crispy Meal,‫وجبة كرسبي‬
Crystalat,‫كريستال‬
Dahan Shopping Center,‫مركز دهان للتسوق‬
Dahiya Eastern Shopping Center,‫مركز الضاحية الشرقي للتسوق‬
Daiji Shopping Center,‫مركز دايجي للتسوق‬
Dammam Clothes and Shoes,‫الدمام للملابس والأحذية‬
Dammam Palace Hotel,‫فندق قصر الدمام‬
Dammam Shopping Center,‫مركز تسوق الدمام‬
Damond,‫داموند‬
Al-Dana Resturant,‫مطعم الدانة‬
Danger,‫خطر‬
Dar Restaurant,‫مطعم دار‬
Darul Khaleej,‫دار الخليج‬
Desert Designs,‫تصاميم الصحراء‬
Desert Mall,‫ديزرت مول‬
Dharan Pharmacy,‫صيدلية داران‬
DH Plaza,‫دي إتش بلازا‬
Dinar,‫دينار‬
Discount Center,‫مركز الخصم‬
Divakaran International Group of Companies,‫مجموعة شركات ديفاكاران الدولية‬
Diafa Broasted,‫ديافا بروستد‬
Dossary Al-Darwesh Bakery,‫مخبز دوسري الدرويش‬
Dossary Food Stuff,‫دوساري المواد الغذائية‬
Dream Meal,‫وجبة الأحلام‬
Dream World,‫عالم الأحلام‬
DT,‫دي تي‬
Dudu Fashion,‫دودو فاشون‬
East n West Restaurant,‫مطعم إيست إن ويست‬
Eastern Gulf Factory,‫مصنع الخليج الشرقي‬
Eastern Pillow,‫وسادة شرقية‬
Eat n Pack Restaurant,‫مطعم ايت اند باك‬
Ekhtiar Hadaek,‫إختيار هدائق‬
Electronovation,‫التجديد الكهربائي‬
Elegenc Corner,‫ركن إليجنك‬
Elmia Bookstore,‫مكتبة الميا‬
Elya,‫إيليا‬
Eman,‫إيمان‬
Envelopes and Paper Bag Factory,‫مصنع المغلفات والأكياس الورقية‬
ESM Al-Raqui,‫ESM الراقي‬
Exhibition,‫معرض‬
Eyadath Al-Haya Al-Sakaniyah (JAC),‫إيياد الحياة السكانية (JAC)‬
F (Marinze),‫F (Marinze)‬
Fahad Supplies,‫توريدات فهد‬
Faham Sanadiyan,‫فهام سنديان‬
Faique Fashion,‫فايق فاشون‬
Fairmart Supermarket,‫فيرمارت سوبر ماركت‬
Fajar Al-Ebayat,‫فجر العبيات‬
Fajar Al-Inara,‫فجر العنارا‬
Fakhera,‫فاخرة‬
Falah Marketing,‫فلاح للتسويق‬
Family Center,‫مركز العائلة‬
Family Supplies,‫مستلزمات الأسرة‬
Faraj Coldstore,‫فرج كولدستور‬
Fares,‫فارس‬
Fascino,‫فاسينو‬
Fashion On Baseel,‫أزياء على بازيل‬
Fashion Shop (FS),‫متجر الأزياء (FS)‬
Fast Call (FC),‫مكالمة سريعة (FC)‬
Fatina,‫فاتينا‬
Fawaz Restaurant,‫مطعم فواز‬
Fawaz Haleej,‫فواز حليج‬
Anud Cold Store,‫مخزن الأنود البارد‬
Fayez Al-Qamber Trading Establishment,‫مؤسسة فايز القمبر التجارية‬
Fayum Center,‫مركز الفيوم‬
Feum,‫فيم‬
Fillfilah,‫الفيلفيلة‬
Fionka,‫فيونكا‬
Fire Brigade 998,‫فرقة الإطفاء 998‬
First Lady,‫السيدة الأولى‬
First Shoes (ASH),‫الأحذية الأولى (ASH)‬
Firuzy Restaurant,‫مطعم فيروزي‬
Five Circle,‫خمس دوائل‬
"Five, Ten, Fifteen",‫خمسة ، عشرة ، خمسة عشر‬
Biofood,‫الأغذية الحيوية‬
Four Seasons,‫فورسيزونز‬
Fozan (Hardware),‫فوزان (الأجهزة)‬
Fozan (Electrical),‫فوزان (كهربائي)‬
France Scarf (FS),‫وشاح فرنسا (FS)‬
Free Home Delivery,‫توصيل مجاني للمنازل‬
French Designer,‫مصمم فرنسي‬
Fresh Samboosah,‫سمبوسة طازجة‬
Funel,‫فونيل‬
Fursan Sweets and Nuts,‫فرسان حلويات ومكسرات‬
Future Digital Solutions,‫حلول المستقبل الرقمية‬
Future Science for Electronics,‫علم المستقبل للإلكترونيات‬
Gahwa Al-Arabia (Arabian Coffee),‫قهوة العربية (قهوة عربية)‬
Ghada (KS),‫غادة (كانساس)‬
GCC Olayan,‫العليان الخليجي‬
General Dynamics,‫الديناميات العامة‬
General Store,‫المتجر العام‬
Ghader,‫غدير‬
Ghali Yarkhaslak,‫غالي يرخسلك‬
Giant Store,‫متجر عملاق‬
Gift,‫هدية‬
Gifts Door,‫باب الهدايا‬
Gift House,‫بيت الهدايا‬
Gift World,‫عالم الهدايا‬
Good Morning USA,‫صباح الخير الولايات المتحدة الأمريكية‬
Golden Carwash,‫غسيل السيارات الذهبي‬
Golden Crown,‫التاج الذهبي‬
Golden Fertilizer,‫سماد ذهبي‬
Gosaibi Services,‫خدمات القصيبي‬
Green Fields Fertilzer,‫جرين فيلدز فرتيلزر‬
Green Tea,‫شاي أخضر‬
Green Wings,‫أجنحة خضراء‬
Gulf Metro,‫مترو الخليج‬
Gulf Samposa,‫سمبوسا الخليج‬
Gulf Uniform,‫الزي الخليجي‬
Hababah Fashions,‫أزياء حبابة‬
Hadded TSD,‫TSD مدرج‬
Ramzi Al-Khabaz Pharmacy,‫صيدلية رمزي الخباز‬
Hadiyah for Dates,‫هدية للتمور‬
Hali Restaurant,‫مطعم هالي‬
Ahlan Wa Sallan (Gahwa Al-Arabia),‫أهلا وسلان (قهوة العربية)‬
Hamad Trading,‫حمد للتجارة‬
Hana Chicken,‫هانا دجاج‬
Happy Night,‫ليلة سعيدة‬
Harees,‫الهريس‬
Hassan A.S. Al-Khadar,‫حسن عبدالصمد الخضر‬
Hassan Food Center,‫مركز حسن للمأكولات‬
Hayat,‫حياة‬
Hayil Shopping Center,‫مركز هايل للتسوق‬
Hazana,‫حزانة‬
Hadiya,‫هدية‬
Heat Establishment,‫مؤسسة الحرارة‬
Hempel,‫همبل‬
Hina Abu Al-Ez,‫حنا أبو العز‬
Homestyle,‫هوم ستايل‬
Horia Trading Establishment,‫مؤسسة حورية التجارية‬
Hot Meals,‫وجبات ساخنة‬
Humrani,‫حمراني‬
Husaiki,‫هوسايكي‬
Husain Al-Tahir Trading Establisment,‫حسين الطاهر للتأسيس التجاري‬
Hussain Al-Tahir Al-Qattan,‫حسين الطاهر القطان‬
Huya,‫هويا‬
Huzam Special Gifts,‫هدايا هزام الخاصة‬
Hydeah,‫هيديه‬
Ibn Sina,‫ابن سينا‬
Ibrahim Engineering Consultant,‫إبراهيم للاستشارات الهندسية‬
Ibrahim Trading,‫إبراهيم للتجارة‬
Infected Waste,‫النفايات المصابة‬
Infectious Medical Waste,‫النفايات الطبية المعدية‬
Intercontinental Hotel,‫فندق إنتركونتيننتال‬
International Paints,‫الدهانات الدولية‬
Iram Palace,‫قصر إرم‬
Iranian and Arabic Food,‫مأكولات إيرانية وعربية‬
Isam O. Al-Ali Establishment,‫مؤسسة عصام بن عبدالعلي‬
ISCOL,‫إيسكول‬
Isolation Linen,‫بياضات العزل‬
Issah Al-Dossary,‫عيسى الدوسري‬
Italian Rose,‫الورد الإيطالي‬
Jabr Trading,‫جبر للتجارة‬
Jameel Exhibition,‫معرض جميل‬
Janat Al-Ahram,‫جنة الأهرام‬
Janob Charcoal,‫فحم جانوب‬
Jarash,‫جرش‬
Jawad Al-Moghanni Establishment,‫مؤسسة جواد المغاني‬
Jawharah Center,‫مركز جوهرة‬
Jawhareat Hajer Complex,‫مجمع جوهرات هاجر‬
Jawharia Coal,‫الفحم جوهريا‬
Jazeera Lil Jalabiyat,‫الجزيرة ليل جلابيات‬
Jazeera Restaurant,‫مطعم الجزيرة‬
Jazim,‫جازيم‬
Jazirah Arabia,‫الجزيرة العربية‬
Jazeera Al-Binaa Trading Establishment,‫مؤسسة الجزيرة البناء التجارية‬
Jeans Apparel,‫ملابس الجينز‬
Jeans Kemp,‫جينز كيمب‬
Jeel Branch,‫فرع جيل‬
Jinah Al-Akhder,‫جناح الأخضر‬
Jnoub Shopping Center,‫مركز تسوق جنوب‬
JP Center,‫مركز جي بي‬
Jubail Coldstore,‫الجبيل كولدستور‬
Juhairan Shopping Center,‫مركز جهيران للتسوق‬
Joory Palace,‫جوري بالاس‬
KA,‫كا‬
Kabayan Supermarket,‫Kabayan سوبر ماركت‬
KAFA,‫كفى‬
Kaldi,‫كالدي‬
Kan Zaman Restaurant,‫مطعم كان زمان‬
Kanari,‫كناري‬
Karbala,‫كربلاء‬
Kareem Trading Establishment,‫مؤسسة كريم التجارية‬
Katwati,‫كاتواتي‬
kawkab Al-Ard,‫كوكب الأرض‬
Kayed,‫كايد‬
Kenzy,‫كينزي‬
Khafji Joint Operation,‫عملية الخفجي المشتركة‬
Khaial,‫خيال‬
Khair,‫الخير‬
Khaldon Al-Emerini,‫خلدون الامريني‬
Khaleed S. Al-Sana Establishment,‫مؤسسة خالد بن صالح الصنعاء‬
Khaleej Restaurant,‫مطعم الخليج‬
Khatif Al-Adwa,‫خطاب العدوة‬
Khayam Studio,‫استوديو الخيام‬
Khobar Discount Center,‫مركز الخبر للخصم‬
Khobar Plastic,‫الخبر بلاستيك‬
Khonaini Supermarket,‫خونيني سوبر ماركت‬
Kulsum,‫كلسوم‬
Kwatim Hadramoth,‫كواتيم هادراموت‬
La Poire,‫لا بوار‬
La Sani,‫لا ساني‬
Lamsat Shahad,‫لمسات شهد‬
Last Over,‫آخر‬
Lateefa Hamed Al-Dossary Ladies Tailoring,‫لطيفة حامد الدوسري للخياطة النسائية‬
Latif,‫لطيف‬
Laundry Bag,‫حقيبة غسيل‬
Lewan Restaurant,‫مطعم ليوان‬
Lias,‫لياس‬
Libanon Green Restaurant,‫مطعم ليبانون جرين‬
Lights Trading Establishment,‫مؤسسة الأضواء التجارية‬
Lilas,‫ليلاس‬
Lily,‫زنبق‬
501 Shoppe,‫501 شوبي‬
Lolo,‫لولو‬
Lora Saleh Qatani,‫ليرة صالح قطاني‬
Lord,‫رب‬
Lucky Center,‫مركز الحظ‬
Luluat Al-Ferdos Pharmacy,‫صيدلية لولوات الفردوس‬
Lulu Al-Mazara,‫لولو المزارة‬
Lulu Ladies Center,‫مركز اللولو للسيدات‬
Madyafix,‫ماديافيكس‬
Mafares Sufra,‫مفارس سفرة‬
Mahdi Al-Hutaili,‫مهدي الحطيلي‬
Mahdi Al-Hutaila Establishment,‫مؤسسة مهدي الحطيلة‬
Mais AL-Rim,‫ميس الريم‬
Majdi House Needset,‫مجدي هاوس نيدستيت‬
Majed Fashion,‫ماجد فاشون‬
Majid Toys,‫ألعاب ماجد‬
Makati Shopping Center,‫مركز ماكاتي للتسوق‬
Malaki,‫ملاكي‬
Malallah,‫ملله‬
Malaz International,‫ملاذ الدولية‬
Malboosath Arkan,‫مالبوساث أركان‬
Malbusati,‫مالبوستي‬
Malki,‫المالكي‬
Manakhel,‫مناخيل‬
Manameen,‫المنامين‬
Manara Electric Co. Ltd.,‫شركة المنارة الكهربائية المحدودة‬
Manhali Shopping Center,‫مركز منهالي للتسوق‬
Mani,‫ماني‬
Manila,‫مانيلا‬
Mansoor Pharmacy,‫صيدلية منصور‬
Markaz Al-Faizal Meat,‫مركز الفيصل للحوم‬
Marosh,‫مروش‬
Mashwi Corner,‫ركن مشوي‬
Mazaya Al-Asaar,‫مزايا العصار‬
Mazaya Food,‫مزايا فود‬
Multipurpose Cooperative (MCS),‫تعاونية متعددة الأغراض (MCS)‬
Sabic Medical Clinic Services,‫خدمات عيادة سابك الطبية‬
Metro Center,‫مركز المترو‬
Midhal Hotel,‫فندق ميدهال‬
Millenium,‫الالفيه‬
Mina Center,‫مركز مينا‬
Mira Center,‫مركز ميرا‬
Mirage Studio,‫استوديو ميراج‬
Maharaja Palace Hotel,‫فندق مهراجا بالاس‬
Mama,‫ماما‬
Modern Center Textiles,‫المنسوجات المركزية الحديثة‬
Modern Plastic Bag Factory,‫مصنع الأكياس البلاستيكية الحديثة‬
Modiest Fashion,‫مودست موضة‬
Modka Sweets,‫حلويات مودكا‬
Mohammed Shihab,‫محمد شهاب‬
Mohammad Mubarak,‫محمد مبارك‬
Mohammed Al-Sodair Trading Establishment,‫مؤسسة محمد السدير للتجارة‬
Shaqsiyah Al-Momiaza,‫شقية الموميازة‬
Moulood,‫مولود‬
Mozaini Trading,‫مزيني للتجارة‬
Mukhaizeem Shopping Center,‫مركز مخيزيم للتسوق‬
Muhktara Trading,‫مختارة للتجارة‬
Mulaiki Fashion (MF),‫مولايكي فاشون (MF)‬
Mulif Food Stuff,‫موليف للمواد الغذائية‬
Mumaiza,‫معيزة‬
Muthana,‫مثنى‬
Mutref,‫مطرف‬
MVC,‫MVC‬
My Aqar. Com,‫عقاري كوم‬
My Baby,‫حبيبي‬
My Game,‫لعبتي‬
Naemah,‫نعمة‬
Nahed Trading Establishment,‫مؤسسة ناهض التجارية‬
Mijana Restaurant,‫مطعم ميجانا‬
Naher Al-Kerat,‫ناهر الكرات‬
Naji Building Materials Supply,‫ناجي لتوريد مواد البناء‬
Najma Al-Shawq Fashion,‫نجمة الشوق للأزياء‬
Najma Al-Fadhiya,‫نجمة الفاضية‬
Namer,‫نامر‬
Naseym Gulf,‫نسيم الخليج‬
Nashwa,‫نشوى‬
Nasser M. Hasson Al-Ghamdi Establishment,‫مؤسسة ناصر محمد حسون الغامدي‬
National Lighting,‫الإضاءة الوطنية‬
National Market Company,‫شركة السوق الوطني‬
National Methanol Company,‫الشركة الوطنية للميثانول‬
Nectar,‫رحيق‬
Nesrin Tailoring,‫نسرين للخياطة‬
New Boy,‫فتى جديد‬
New Style,‫نمط جديد‬
New Time Fashion,‫أزياء الوقت الجديد‬
New Look,‫مظهر جديد‬
Niklah Al-Khaleej Trading,‫شركة نقله الخليج للتجارة‬
Nirala Sweets,‫حلويات نيرالا‬
Njood,‫نجود‬
No Limit Trading Establishment,‫مؤسسة تجارة بلا حدود‬
Noor,‫نور‬
Noora,‫نورا‬
Odaini,‫أودايني‬
Okaz Commercial,‫عكاظ التجارية‬
Omrania Trading,‫العمرانية للتجارة‬
One Style,‫نمط واحد‬
Open Day,‫يوم مفتوح‬
Orchid,‫السحلب‬
Nokia Ringtone,‫نغمة رنين نوكيا‬
OOJ Coldstore,‫OOJ كولدستور‬
Oriental Shopping Center (OSC),‫مركز التسوق الشرقي (OSC)‬
Palestine Corner,‫ركن فلسطين‬
Panasonic,‫باناسونيك‬
Paper Moon,‫القمر الورقي‬
Pasta Hot,‫باستا هوت‬
Peacock Carpet Center,‫مركز الطاووس للسجاد‬
PETROKEMYA (KEMYA),‫بتروكيميا (كيميا)‬
Picnic,‫نزهه‬
Power Trading Establishment,‫مؤسسة تجارة الطاقة‬
Price House,‫برايس هاوس‬
Prima Ware,‫بريما وير‬
Project Fertilizer,‫مشروع الأسمدة‬
Qamber,‫قمبر‬
Qanbar Dywidag,‫قنبر ديويداغ‬
Quba Center,‫مركز قباء‬
Quds,‫القدس‬
Quds Food Supplier,‫مورد قدس للأغذية‬
Rabie Shopping Center,‫مركز ربيع للتسوق‬
Rabieya Charcoal,‫فحم الربيع‬
Radi Al-Khosah,‫راضي الخشة‬
Rafath,‫رأفة‬
Rahma,‫رحمة‬
Raid Store,‫متجر غارة‬
Railways Organization,‫منظمة السكك الحديدية‬
Rakan Thamez,‫راكان ثاميز‬
Ramada Hotels and Suites,‫فنادق وأجنحة رمادا‬
Ramez Group,‫مجموعة رامز‬
Ramz Al-Tawfeer,‫رمز التوفير‬
Ramz Al-Thakfidat,‫رمز الذكفيدات‬
Rashed Mall,‫راشد مول‬
Rassan Copy Center,‫مركز راسان للنسخ‬
Rawaa Rawan,‫رواء روان‬
Rawabi Al-Sham,‫روابي الشام‬
Rawaea Al-Tahany,‫راوية الطحاني‬
Rayan (Mazaya Foods),‫ريان (مزايا للأغذية)‬
Raybal Sweet House,‫ريبال سويت هاوس‬
Razi,‫رازي‬
Red Cap,‫غطاء أحمر‬
Red Carpet,‫السجادة الحمراء‬
Reem Sweet,‫ريم سويت‬
Rehab Pharmacy,‫صيدلية رحاب‬
Rawan (RF),‫روان (RF)‬
Rhona,‫رونا‬
Riaya Hospital,‫مستشفى رياية‬
Riyadh Coldstore,‫كولدستور الرياض‬
Riyan,‫ريان‬
Roaa,‫رؤى‬
Romansiah,‫رومانسيا‬
Roshna Center,‫مركز روشنا‬
Royal Commission on Health Program,‫برنامج الهيئة الملكية للصحة‬
Ruwad Al-Arab Factory,‫مصنع رواد العرب‬
Saad Specialist Hospital,‫مستشفى سعد التخصصي‬
Sabic Terminal Services Medical Clinic,‫عيادة سابك للخدمات الطبية‬
SADAF,‫صدف‬
Saeed B. Balhaddad,‫سعيد بن عبدالحداد‬
Saer Al-Insab,‫ساير الإنسب‬
Saer Al-Mukhafad,‫ساير المخابرات‬
Safa Foods,‫صفا للأغذية‬
Safar Fashion,‫سفر فاشون‬
SAFCO,‫سافكو‬
Royal Carpet,‫رويال كارت‬
Sahara Petrochemicals,‫الصحراء للبتروكيماويات‬
Sahdi Meats,‫اللحوم السهدية‬
Saihati Grocery,‫بقالة سيهاتي‬
Salahudin Pastry,‫معجنات صلاح الدين‬
Saleh Saghyer Trading Establishment,‫مؤسسة صالح الصغير للتجارة‬
Saline Water Conversion Corporation,‫شركة تحلية المياه المالحة‬
Salman Exhibition,‫معرض سلمان‬
SAM Computer,‫سام للكمبيوتر‬
Sameh,‫سامح‬
Safsaf Restaurant,‫مطعم صفسف‬
Saiadiah Restaurant,‫مطعم السيادية‬
Samel Trading Center,‫مركز سامل التجاري‬
Sameway Shopping Center,‫مركز تسوق Sameway‬
Samhan,‫سمحان‬
Samir Al-Nassirin,‫سمير الناصرين‬
Samposa Peladi,‫سامبوسا بيلادي‬
Sanabel Al-Kher,‫سنابل الخير‬
Sanabel Al-Sharq,‫سنابل الشرق‬
Sanabil Al-Jnoub (AJS),‫سنابل الجنوب (AJS)‬
Sara Studio,‫سارة ستوديو‬
Sarekh Hassa,‫ساريخ أسا‬
Saudi Arabic Store,‫متجر عربي سعودي‬
Saudi Aramco,‫أرامكو السعودية‬
Saudi Broasted,‫بروست سعودي‬
Saudi Cattering,‫التموين السعودي‬
Saudi Holladi Bank,‫بنك الهولادي السعودي‬
Saudi Methanol Company,‫الشركة السعودية للميثانول‬
Saudi Textiles Thuqbah,‫المنسوجات السعودية الثقبة‬
Sayadine,‫سيادين‬
Sayary Ice Factory,‫مصنع ساياري للثلج‬
S-Chem Clinic,‫عيادة إس كيم‬
Sea and Shore Restaurant,‫مطعم سي اند شور‬
Sehaiban Fashion,‫أزياء سهايبان‬
Seventy Five (75),‫خمسة وسبعون (75)‬
Shahe,‫شاه‬
Shamayil Al-Rabie Shopping Center,‫مركز الشمايل الربيع للتسوق‬
Shamel Group,‫مجموعة شامل‬
Sharif Pharmacy,‫صيدلية شريف‬
Sharour Restaurant,‫مطعم شرور‬
Shawaia,‫الشواية‬
Shehri Center Ya Balash,‫مركز شهري يا بلاش‬
Shehri Plaza,‫شهري بلازا‬
Shihac Supply,‫توريد Shihac‬
Shimal Charcoal,‫فحم شمال‬
Shiyuk Coffee,‫قهوة شيوك‬
Shkoor Trading Establishment,‫مؤسسة شكور التجارية‬
Shroq Factory,‫مصنع شروق‬
Sidra Fashion,‫سدرة فاشون‬
Silky,‫حريري‬
Silver Needle,‫إبرة فضية‬
Sinaa Center,‫مركز سيناء‬
Sanam Naifat Center,‫مركز سنام نائفات‬
SIPCHEM,‫سيبكيم‬
Soft Touch,‫لمسة ناعمة‬
Soudier Store,‫متجر سودير‬
Souq Fashion,‫سوق فاشون‬
Small Millionaire,‫المليونير الصغير‬
Star,‫نجم‬
Star Roaster,‫ستار روستر‬
Star Center,‫مركز النجوم‬
Star Nut,‫ستار الجوز‬
Star Shopping Center,‫مركز تسوق ستار‬
Studio Banat,‫استوديو بنات‬
Suelah Charcoal,‫سويلا فحم‬
Suhaili,‫سهيلي‬
Sumaiyah,‫سمية‬
Sun Sweet,‫صن سويت‬
Sunset Beach Supemarket,‫صن سيت بيتش سوبي ماركت‬
Super Corner,‫سوبر كورنر‬
Super Corner (Jamalak),‫سوبر كورنر (جملك)‬
Supplies,‫مؤن‬
Surprice,‫سوربرايس‬
Sweet Corner,‫سويت كورنر‬
Tabbaq Tabbaq Restaurant,‫مطعم طبق‬
Tafaneen,‫تافنين‬
